"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-01","5.14"," 1503"," 1505","0.00","0.0","0.0","25","34","16",,"  350","  350","13.0","14.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-02","11.86"," 2351"," 2344","0.00","0.0","0.0","27","37","17",,"  340","  340","36.0","40.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-03","20.13"," 0432"," 0431","0.00","0.0","0.0","14","24","4",,"  340","  340","40.0","46.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-04","4.47"," 1452"," 1452","0.00","0.0","0.0","21","40","2",,"  130","  140","16.1","17.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-05","15.43"," 1423"," 1423","0.00","0.0","0.0","32","45","18",,"  330","  320","34.9","38.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-06","5.37"," 1133"," 1215","0.00","0.0","0.0","26","37","15",,"  340","  350","17.9","21.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-07","7.16"," 1051"," 1051","0.00","0.0","0.0","33","52","13",,"  330","  330","23.9","29.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-08","8.28"," 1456"," 1316","0.00","0.0","0.0","35","49","20",,"  200","  190","16.1","17.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-09","11.86"," 0942"," 0942","0.00","0.0","0.0","32","45","19",,"  320","  320","31.1","34.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-10","20.13"," 0304"," 1151","0.00","0.0","0.0","25","39","11",,"  310","  320","44.1","53.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-11","7.61"," 1413"," 2159","0.01","0.2","0.0","23","30","15",,"   40","  120","15.0","16.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-12","6.71"," 0010"," 0011","0.00","0.0","0.0","19","26","11",,"  140","  130","21.0","23.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-13","8.28"," 1451"," 1447","0.00","0.0","0.0","27","39","14",,"  160","  160","17.9","21.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-14","3.80"," 1616"," 1616","0.00","0.0","0.0","41","54","27",,"   30","   40","13.0","14.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-15","9.40"," 1241"," 1240","0.00","0.0","0.0","45","63","26",,"   20","   30","25.9","30.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-16","14.32"," 1453"," 1453","0.00","0.0","0.0","28","38","18",,"  170","  160","25.9","30.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-17","7.61"," 0219"," 0219","0.00","0.0","0.0","38","48","27",,"  350","  350","25.1","32.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-18","6.93",,,"0.00","0.0","0.0","35","51","19",,"    0","  350","34.9","42.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-01-19","14.76"," 0922"," 0922","0.00","0.0","0.0","24","41","7",,"  350","  350","34.9","42.9"
